Name of the firm;How many years have you worked in consulting ?;What is your current Job title ?;How long have you been with your current firm ?;How many hours do you work a week ?;What is your gender ?;What is your age ?;How often do you feel that your work schedule leaves you with little time for personal or family life ?  ;How frequently do you experience work-related stress or burnout ?;How do you think that your company supports work-life balance (e.g., flexible working hours, remote work) ?  ;Do you find your job fulfilling ?;Overall, do you enjoy your work ?;Do you feel a strong alignment between your personal values and your firm«Ω∂?∂?s culture ?  ;How well do you fit within your team and the broader firm ?  ;How satisfied are you with the leadership style at your firm ?  ;Do you feel recognized and valued for your contributions at work ?;Do you feel that your firm«Ω∂?∂?s management is accessible and involved in supporting employees (proximity of management) ?  ;How satisfied are you with the career development opportunities available at your firm ?  ;Do you feel that you have a clear path for promotion within your firm ?  ;Have you received sufficient training and professional development to advance in your career ?  ;How likely are you to leave your firm due to limited career progression ?  ;How satisfied are you with your current salary and benefits package ?  ;Do you feel that your compensation reflects the effort and hours you put into your work ?;To what extent are financial incentives (e.g., bonuses) an important factor in your decision to stay with your firm ?  ;Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [1 Most important];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [2];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [3];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [4];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [5];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [6];Please rank the following factors in order of importance for retaining employees and reducing turnover at your firm (1 = most important, 7 = least important)   [7 Least important]
EY;4 - 6 years;Senior Consultant;1 - 3 years;41 - 50;Female;25 - 34;Often;Sometimes;3;2;5;5;2;4;4;5;1;3;4;2;5;3;5;Work-life balance;Work-life balance;Compensation and rewards;Work-life balance;Organizational culture and fit;Burnout and stress management;Work-life balance
Deloitte;1 - 3 years;Analyst;1 - 3 years;41 - 50;Male;25 - 34;Rarely;Often;4;5;2;5;2;5;3;4;5;1;3;5;5;5;5;Career development and progression;Career development and progression;Job satisfaction and enjoyment;Career development and progression;Compensation and rewards;Burnout and stress management;Organizational culture and fit
Ekimetrics;1 - 3 years;Junior Consultant;1 - 3 years;41 - 50;Male;25 - 34;Rarely;Often;3;5;2;4;2;4;2;5;5;1;4;4;1;3;4;Job satisfaction and enjoyment;Organizational culture and fit;Burnout and stress management;Work-life balance;Job satisfaction and enjoyment;Organizational culture and fit;Organizational culture and fit
Deepia;1 - 3 years;Junior Consultant;1 - 3 years;35 - 40;Male;25 - 34;Sometimes;Occasionally;3;3;4;3;4;3;3;2;3;1;2;5;3;3;5;Management proximity and support;Work-life balance;Compensation and rewards;Job satisfaction and enjoyment;Management proximity and support;Compensation and rewards;Organizational culture and fit
Deepia;< 1 year;Intern;1 year or less;35 - 40;Female;25 - 34;Rarely;Occasionally;4;3;3;5;2;5;3;3;2;3;4;2;2;1;3;Management proximity and support;Management proximity and support;Compensation and rewards;Job satisfaction and enjoyment;Management proximity and support;Work-life balance;Work-life balance
PwC;< 1 year;Junior Consultant;1 year or less;41 - 50;Female;< 25;Sometimes;Occasionally;5;4;5;5;3;2;3;2;2;4;2;5;4;5;3;Job satisfaction and enjoyment;Compensation and rewards;Burnout and stress management;Work-life balance;Management proximity and support;Career development and progression;Management proximity and support
McKinsey & Company;4 - 6 years;Senior Consultant;1 - 3 years;51 - 60;Male;25 - 34;Often;Sometimes;5;3;2;5;3;3;3;3;4;3;4;3;4;1;5;Burnout and stress management;Compensation and rewards;Job satisfaction and enjoyment;Organizational culture and fit;Burnout and stress management;Burnout and stress management;Burnout and stress management
EY;10+ years;Director;7+ years;41 - 50;Male;55+;Rarely;Occasionally;5;5;3;5;3;2;2;5;3;5;2;4;3;5;1;Burnout and stress management;Work-life balance;Compensation and rewards;Organizational culture and fit;Job satisfaction and enjoyment;Organizational culture and fit;Management proximity and support
McKinsey & Company;10+ years;Partner;7+ years;41 - 50;Male;35 - 44;Rarely;Sometimes;5;4;5;3;5;5;4;3;5;3;4;3;5;4;4;Compensation and rewards;Job satisfaction and enjoyment;Career development and progression;Work-life balance;Job satisfaction and enjoyment;Management proximity and support;Management proximity and support
Artefact ;1 - 3 years;Analyst;1 year or less;41 - 50;Male;< 25;Often;Occasionally;5;2;5;4;2;4;3;4;5;3;5;3;5;5;4;Work-life balance;Work-life balance;Burnout and stress management;Compensation and rewards;Burnout and stress management;Career development and progression;Management proximity and support
